rank	entry_id	cluster	rerank_score	rrf_score	channels	content
1	91	10	0.999388	0.030679	fts+vec	spill logs to a single SQLite database shared across all tools. Each log entry r 
2	1	1	0.994890	0.016129	vec	Switched spill from per-tool log files to a single SQLite database. Centralized  
3	74	8	0.000281	0.013889	fts	Experiment scripts live in experiment/ within the blog repo, not in the tool rep 
4	8	1	0.000024	0.015873	vec	spill structured its log entries as JSON lines rather than plain text. Every ent 
5	100	10	0.000000	0.030835	fts+vec	Originally logged full entry content in spill on every retrieval. This bloated t 
6	92	10	0.000000	0.030118	fts+vec	Spill provides three severity levels: info, warn, error. There is no debug level 
7	95	10	0.000000	0.030077	fts+vec	Spill SQLite writes blocked under high concurrency when multiple tools logged si 
8	93	10	0.000000	0.02879	fts+vec	Log entries include the tool name as a structured field, not embedded in the mes 
9	62	7	0.000000	0.028718	fts+vec	Commit messages use a tool-name prefix followed by a colon: crib: add consolidat 
10	99	10	0.000000	0.028531	fts+vec	When crib logs a retrieval, it records which channels returned results but not t 
11	61	7	0.000000	0.026671	fts+vec	Each tool repo uses a single main branch with no feature branches. Commits go di 
12	58	6	0.000000	0.025974	fts+vec	Error handling follows fail-open semantics: if a non-critical operation like emb 
13	105	0	0.000000	0.016393	fts	The jet stream position determines winter severity in the Pacific Northwest. A n 
14	98	10	0.000000	0.015625	fts	Log messages are sentences, not codes. stored entry #42 (decision), 3 triples ex 
15	97	10	0.000000	0.015385	fts	Log rotation is manual: when the database exceeds a size threshold, archive the  
16	43	5	0.000000	0.015152	vec	When debugging cross-tool failures, check spill log first. All tools log to the  
17	94	10	0.000000	0.014925	fts	Spill falls back to stderr when not available. Every tool checks for SPILL_HOME  
18	9	1	0.000000	0.014493	vec	Each tool exposes exactly one subcommand interface: tool_name action. No flags,  
19	34	4	0.000000	0.014286	vec	Chose SQLite over PostgreSQL because the deployment target is a single machine.  
20	87	9	0.000000	0.014085	fts	Antecedent basis rule: never reference internal module names or jargon in descri 
