rank	entry_id	cluster	score	channels	content
1	74	8	0.030835	fts+vec	Experiment scripts live in experiment/ within the blog repo, not in the tool rep 
2	77	8	0.016393	fts	The three-channels experiment tests retrieval quality, not performance. Timing d 
3	70	7	0.016393	vec	Repository layout: bin/ for executables, lib/ for shared code if any, memory/ fo 
4	2	1	0.016129	vec	prophet does not vendor its dependencies. Each tool lives in its own repo as a s 
5	20	2	0.015873	fts	Previously assumed sqlite-vec defaults to cosine distance. It actually defaults  
6	67	7	0.015873	vec	Rebasing is preferred over merge commits for keeping history linear. Interactive 
7	9	1	0.015625	vec	Each tool exposes exactly one subcommand interface: tool_name action. No flags,  
8	21	3	0.015385	vec	The gemma3 1b model says yes to anything technology-adjacent when given vague co 
9	61	7	0.015152	vec	Each tool repo uses a single main branch with no feature branches. Commits go di 
10	69	7	0.014925	vec	Force-pushing to main is acceptable because there is one developer. The rebase w 
