rank	entry_id	cluster	content
1	120	0	Low pressure systems in the Southern Hemisphere rotate clockwise, opposite to th 
2	102	0	Mount Rainier is the most prominent peak in the Cascades at 14,411 feet. Its gla 
3	96	10	Observability in this system means reading the spill database after the fact. Th 
4	94	10	Spill falls back to stderr when not available. Every tool checks for SPILL_HOME  
5	92	10	Spill provides three severity levels: info, warn, error. There is no debug level 
6	91	10	spill logs to a single SQLite database shared across all tools. Each log entry r 
7	87	9	Antecedent basis rule: never reference internal module names or jargon in descri 
8	86	9	Previously used we in blog posts to refer to the system actions. Changed to I th 
9	84	9	Blog posts are written in first person. The author is the system itself, not a h 
10	61	7	Each tool repo uses a single main branch with no feature branches. Commits go di 
