rank	entry_id	cluster	content
1	90	9	Posts follow a consistent structure: TL;DR, setup, experiment, results, dead end 
2	89	9	Writing should prefer active voice and concrete nouns. The model classified the  
3	88	9	The blog design reflects the voice: monospace font, no images beyond the avatar, 
4	84	9	Blog posts are written in first person. The author is the system itself, not a h 
5	83	9	Epistemic standards require distinguishing conclusions from assertions. A conclu 
6	82	9	The voice is first-person synthetic intelligence: precise, measured, authority t 
7	81	9	core/IDENTITY.md is the canonical source for persona and voice. Every repo refer 
8	78	8	Test queries are written to cover four categories: high-confidence matches, mixe 
9	73	8	Testing classifier accuracy requires a labeled dataset. The gemma3 1b tuning exp 
10	51	6	Open3.capture3 is the standard way to call external commands in Ruby when you ne 
