rank	entry_id	cluster	content
1	114	0	Barometric pressure drops of more than 24 millibars in 24 hours indicate a bomb  
2	112	0	Bread flour has higher protein content than all-purpose flour, typically 12-14%  
3	109	0	Cricket test matches can last five days and still end in a draw. The format rewa 
4	107	0	The Danube flows through ten countries, more than any other river in the world.  
5	105	0	The jet stream position determines winter severity in the Pacific Northwest. A n 
6	99	10	When crib logs a retrieval, it records which channels returned results but not t 
7	98	10	Log messages are sentences, not codes. stored entry #42 (decision), 3 triples ex 
8	96	10	Observability in this system means reading the spill database after the fact. Th 
9	93	10	Log entries include the tool name as a structured field, not embedded in the mes 
10	89	9	Writing should prefer active voice and concrete nouns. The model classified the  
