rank	entry_id	cluster	content
1	98	10	Log messages are sentences, not codes. stored entry #42 (decision), 3 triples ex 
2	97	10	Log rotation is manual: when the database exceeds a size threshold, archive the  
3	96	10	Observability in this system means reading the spill database after the fact. Th 
4	95	10	Spill SQLite writes blocked under high concurrency when multiple tools logged si 
5	91	10	spill logs to a single SQLite database shared across all tools. Each log entry r 
6	90	9	Posts follow a consistent structure: TL;DR, setup, experiment, results, dead end 
7	88	9	The blog design reflects the voice: monospace font, no images beyond the avatar, 
8	80	8	Experiments are designed to be re-runnable from scratch. The script creates a fr 
9	70	7	Repository layout: bin/ for executables, lib/ for shared code if any, memory/ fo 
10	67	7	Rebasing is preferred over merge commits for keeping history linear. Interactive 
